"","Keywords","Female.North","Female.Middle","Female.South","Female.East","Male.East","Male.North","Male.Middle","Male.South"
"1913","奶酥",0.000653012632289197,0.00246833976227512,0.00181440827611213,0.00547978315368666,0,0.000645679123367293,0.00233439744512768,0.000886004783473875
"1914","奶昔",0.00126133245722749,0.000183374769118967,0.00137244514883774,0,0,0.00067155165093072,0,0.00184301444337061
"1915","奶油",0.0354363615147627,0.0359157984216187,0.0371720139704364,0.0390966598468154,0.0224500680899066,0.0370656665967385,0.0381347728292747,0.030517038620755
"1916","奶油雞蛋",0.000298513793420503,0.000376120067440027,0.000351877854038153,0,0,0.000229569979784275,0,0
"1917","男",0.00205232541576605,0.00211571979623582,0.00164946206919285,0,0.00325897738049908,0.00581111211030563,0.00140063846707661,0.000886004783473875
"1918","男孩",0.000380000253597573,0.000359093258403508,0.000503922720847947,0,0,0.00131506461700038,0.000475450323698513,0.00360907918212739
"1919","男朋友",0.0041046508315321,0.00528929949058954,0.00593806344909426,0.00136994578842166,0,0.00107613187227882,0.000933758978051074,0.000886004783473875
"1920","男人",0.000950000633993933,0.000538639887605262,0.00117581968197854,0,0,0.00197259692550058,0.00237725161849256,0.00180453959106369
"1921","男生",0.00158588782127376,0.00211571979623582,0.00181440827611213,0.00136994578842166,0,0.00322839561683646,0.00560255386830644,0.00310101674215856
"1922","南",0.00133000088759151,0.000538639887605262,0.000503922720847947,0,0,0.00109588718083365,0.00190180129479405,0.00180453959106369
"1923","南北",0.000597027586841005,0.000752240134880055,0.000703755708076306,0,0,0.000459139959568551,0,0
"1924","南港",0.000582153441797305,0.000366749538237933,0.000171555643604718,0,0,0.00134310330186144,0.000485587469524607,0
"1925","南瓜",0.00853777621987805,0.00936933871868315,0.00909009948622026,0.00674080342186473,0.0224500680899066,0.0112256018835837,0.00964855698090084,0.0030517038620755
"1926","南京",0.00258711954297769,0.000564180101160041,0,0,0,0.000688709939352826,0,0.00141757789266209
"1927","南路",0.00126133245722749,0.000366749538237933,0.000514666930814154,0,0,0.00022385055031024,0.000971174939049215,0
"1928","南門",9.95045978068342e-05,0.000188060033720014,0.00052781678105723,0,0,0,0,0.000472525964220695
"1929","南區",0.000190000126798787,0.000718186516807016,0.000839871201413244,0.00139509484538283,0,0.000657532308500192,0.00142635097109554,0
"1930","南山",0.00102700615831195,0,0,0.00603271596404668,0,0.000236943606826786,0,0
"1931","南台",0.000291076720898652,0.000183374769118967,0.0018871120796519,0,0,0.00022385055031024,0,0.00138226083252795
"1932","南洋",0.000873230162695957,0,0.000514666930814154,0.00284967973287506,0,0.00067155165093072,0,0.000921507221685303
"1933","腦波",0.00161500107778969,0.00107727977521052,0.000671896961130595,0.00139509484538283,0,0.000876709744666922,0,0.000902269795531847
"1934","腦袋",0.000746300151187654,0.000705239932078606,0.000494838620757855,0.00136994578842166,0,0.00193703737010188,0.00186751795610215,0.00177200956694775
"1935","腦海",0.000308101847493584,0.000388200780707123,0.000726359848762597,0,0,0,0,0
"1936","腦子",0.000679179015430189,0,0.000343111287209436,0.00142483986643753,0,0.00044770110062048,0,0.000460753610842652
"1937","鬧區",9.70255736328842e-05,0.0005501243073569,0.000171555643604718,0,0,0,0.000485587469524607,0.000460753610842652
"1938","鬧鐘",0.000536025751193178,0.000202613794871821,0,0,0,0,0,0
"1939","內埔",0.000102700615831195,0,0.000726359848762597,0,0,0,0,0.00243851583702203
"1940","內層",0.000485127868164421,0.000366749538237933,0.000686222574418872,0,0,0.00089540220124096,0.000485587469524607,0
"1941","內場",0.00028500019019818,0.000179546629201754,0.000167974240282649,0.00279018969076565,0.00331880471707693,0.000219177436166731,0,0
"1942","內湖",0.00164943475175903,0.000183374769118967,0,0.00284967973287506,0,0.00089540220124096,0,0.000460753610842652
"1943","內壢",0.000298513793420503,0,0.000175938927019077,0,0,0.000918279919137102,0,0.000472525964220695
"1944","內文",0.000582153441797305,0.0011002486147138,0.000514666930814154,0,0,0.00067155165093072,0.000485587469524607,0
